timestamp,concentration_score,gaze_score,head_pose_score,blink_detected,distraction_count,avg_ear,status,blink_rate_per_min,head_movement_intensity,gaze_stability,mouth_openness,eyebrow_raise,face_tilt,session_focus_time,session_distraction_time,total_session_blinks
2025-09-25 18:33:45,100,0.9677484142780304,0.7998117923147275,False,0,0.2338,FOCUSED,0.0,9.72,1.0,0.0,0.04,9.72,15,0,0
2025-09-25 18:33:45,100,0.9688438910245896,0.795601709981621,False,0,0.2328,FOCUSED,0.0,9.517,1.0,0.001,0.04,9.52,30,0,0
2025-09-25 18:33:46,100,0.9671955797076226,0.7949266597426679,False,0,0.2245,FOCUSED,0.0,9.555,1.0,0.0,0.04,9.55,45,0,0
2025-09-25 18:33:46,100,0.9673172447085381,0.7925549478185434,False,0,0.2326,FOCUSED,0.0,10.18,1.0,0.003,0.041,10.18,60,0,0
2025-09-25 18:33:47,100,0.9643079760670662,0.8111541651829687,False,0,0.2332,FOCUSED,0.0,9.124,1.0,0.0,0.038,9.12,75,0,0
2025-09-25 18:33:47,100,0.962106401026249,0.926380362340228,False,0,0.2369,FOCUSED,0.0,8.163,0.999,0.04,0.029,8.16,90,0,0
2025-09-25 18:33:48,99,0.9333072501420975,0.7168846458611215,True,0,0.1353,FOCUSED,240.0,3.313,1.0,0.002,0.008,3.31,105,0,1
2025-09-25 18:33:48,99,0.9344753096997738,0.6756015279518144,False,0,0.2311,FOCUSED,360.0,1.129,0.999,0.004,0.005,1.13,120,0,1
2025-09-25 18:33:49,98,0.9035647395253181,0.3348667659568121,False,0,0.2495,FOCUSED,120.0,4.248,1.0,0.01,0.017,4.25,135,0,1
2025-09-25 18:33:49,94,0.891770460754633,0.26109165599611883,False,0,0.3116,FOCUSED,0.0,9.52,1.0,0.006,0.029,9.52,150,0,1
2025-09-25 18:33:50,92,0.8831807824969291,0.23192548941815272,False,0,0.3031,FOCUSED,0.0,10.516,1.0,0.003,0.032,10.52,165,0,1
2025-09-25 18:33:50,87,0.8443952444195748,0,False,0,0.3329,FOCUSED,0.0,16.57,0.997,0.003,0.051,16.57,180,0,1
2025-09-25 18:33:51,83,0.8404937791824341,0,False,0,0.3319,FOCUSED,0.0,15.829,1.0,0.004,0.047,15.83,195,0,1
2025-09-25 18:33:51,83,0.8627707029879093,0,False,0,0.5544,FOCUSED,0.0,10.431,0.999,0.045,0.038,10.43,209,0,1
2025-09-25 18:33:52,85,0.9143411937355995,0.31508421719961965,False,0,0.3381,FOCUSED,0.0,21.451,0.994,0.029,0.05,21.45,214,0,1
2025-09-25 18:33:52,95,0.9309761668741703,0.3641012744315818,False,0,0.386,FOCUSED,0.0,19.524,0.999,0.066,0.047,19.52,225,0,1
2025-09-25 18:33:53,99,0.9626872535049915,0.7347909676193516,False,0,0.2428,FOCUSED,0.0,12.364,0.998,0.004,0.043,12.36,240,0,1
2025-09-25 18:33:53,90,0.8025239634513854,0,False,0,0.3803,FOCUSED,180.0,13.768,0.978,0.009,0.045,13.77,255,0,1
2025-09-25 18:33:54,81,0.8151943030953408,0,False,0,0.3122,FOCUSED,180.0,28.125,1.0,0.039,0.079,28.12,270,0,1
2025-09-25 18:33:54,81,0.8240702468156815,0,False,0,0.2527,FOCUSED,0.0,34.272,0.999,0.015,0.105,34.27,283,0,1
2025-09-25 18:33:55,81,0.8440335574746132,0,False,0,0.2885,FOCUSED,0.0,31.747,0.997,0.0,0.07,31.75,286,0,1
2025-09-25 18:33:56,82,0.8633959460258485,0.043613494505163386,False,0,0.3179,FOCUSED,0.0,25.154,0.996,0.003,0.067,25.15,301,0,1
2025-09-25 18:33:56,92,0.9010443794727325,0.5070762098581898,False,0,0.2304,FOCUSED,0.0,3.734,0.998,0.001,0.014,3.73,316,0,1
2025-09-25 18:33:57,100,0.9101602512598037,0.5548766719794072,False,0,0.2319,FOCUSED,0.0,2.317,1.0,0.003,0.002,2.32,331,0,1
2025-09-25 18:33:57,100,0.9136200371384621,0.54860311262881,False,0,0.2186,FOCUSED,0.0,4.273,1.0,0.007,0.009,4.27,346,0,1
2025-09-25 18:33:58,95,0.911810786575079,0.558938916496253,True,0,0.1721,FOCUSED,480.0,6.203,1.0,0.003,0.019,6.2,361,0,1
2025-09-25 18:33:58,98,0.9147944937646388,0.5812702384489693,False,0,0.2064,FOCUSED,720.0,9.131,1.0,0.004,0.026,9.13,376,0,1
2025-09-25 18:33:59,97,0.9144773516058922,0.5751390997227429,False,0,0.2185,FOCUSED,600.0,8.697,1.0,0.004,0.026,8.7,391,0,2
2025-09-25 18:33:59,98,0.920350879728794,0.6008141237732992,True,0,0.1908,FOCUSED,540.0,10.13,1.0,0.004,0.031,10.13,406,0,3
2025-09-25 18:34:00,99,0.9217849719524384,0.6013503956936929,True,0,0.1648,FOCUSED,300.0,9.521,1.0,0.003,0.032,9.52,421,0,3
2025-09-25 18:34:00,98,0.9201435002684593,0.6043354179345684,False,0,0.2454,FOCUSED,300.0,9.56,1.0,0.003,0.031,9.56,436,0,3
2025-09-25 18:34:01,97,0.9349469940364361,0.6933160914897979,False,0,0.23,FOCUSED,600.0,10.165,1.0,0.004,0.033,10.16,451,0,4
