timestamp,concentration_score,gaze_score,head_pose_score,blink_detected,distraction_count,avg_ear,status,blink_rate_per_min,head_movement_intensity,gaze_stability,mouth_openness,eyebrow_raise,face_tilt,session_focus_time,session_distraction_time,total_session_blinks
2025-08-13 18:05:38,71,0.8024328295886517,0,True,0,0.1753,FOCUSED,1680.0,13.166,0.999,0.167,0.051,13.17,15,0,0
2025-08-13 18:05:38,74,0.8768277969956398,0.0003769120876550014,True,0,0.1969,FOCUSED,1740.0,0.978,0.998,0.187,0.002,0.98,30,0,0
2025-08-13 18:05:39,84,0.9044291135668755,0.3563208113642232,False,0,0.2018,FOCUSED,1620.0,5.022,0.999,0.169,0.007,5.02,45,0,0
2025-08-13 18:05:39,88,0.8992611941695213,0.32787474154968055,True,0,0.1743,FOCUSED,1620.0,0.574,0.999,0.161,0.002,0.57,60,0,1
2025-08-13 18:05:40,82,0.8308390837907791,0.08478409755301441,True,0,0.1096,FOCUSED,1800.0,7.421,0.994,0.157,0.026,7.42,75,0,2
2025-08-13 18:05:40,74,0.8049077194929123,0,True,0,0.1746,FOCUSED,1740.0,1.424,0.997,0.0,0.007,1.42,90,0,3
2025-08-13 18:05:41,73,0.7476245057582855,0,True,0,0.1996,FOCUSED,1500.0,1.972,0.999,0.003,0.006,1.97,105,0,3
2025-08-13 18:05:41,75,0.7716111880540848,0,True,0,0.1993,FOCUSED,1200.0,7.581,0.997,0.001,0.03,7.58,120,0,3
2025-08-13 18:05:42,71,0.7736064833402634,0,False,0,0.2029,FOCUSED,1380.0,14.492,1.0,0.036,0.048,14.49,135,0,3
2025-08-13 18:05:42,73,0.7616557624936104,0,False,0,0.2169,FOCUSED,1500.0,12.455,0.999,0.122,0.053,12.46,150,0,3
2025-08-13 18:05:43,73,0.7395870965719223,0,True,0,0.1707,FOCUSED,1200.0,10.327,1.0,0.14,0.04,10.33,165,0,3
2025-08-13 18:05:43,72,0.7344824504852295,0,False,0,0.2055,FOCUSED,1140.0,11.411,1.0,0.135,0.044,11.41,180,0,3
2025-08-13 18:05:44,71,0.7216416251659393,0,True,0,0.1698,FOCUSED,1320.0,10.509,1.0,0.144,0.042,10.51,195,0,3
2025-08-13 18:05:44,71,0.7238469105958939,0,True,0,0.1879,FOCUSED,1440.0,9.238,0.999,0.023,0.036,9.24,210,0,3
2025-08-13 18:05:45,77,0.7278710421919823,0,True,0,0.1246,FOCUSED,900.0,11.317,1.0,0.23,0.043,11.32,225,0,4
2025-08-13 18:05:45,72,0.7311932709813118,0,False,0,0.2045,FOCUSED,840.0,11.03,0.999,0.09,0.04,11.03,240,0,4
2025-08-13 18:05:46,71,0.7293012273311615,0,True,0,0.1954,FOCUSED,1380.0,10.372,1.0,0.103,0.042,10.37,255,0,4
2025-08-13 18:05:46,76,0.7192414012551308,0,True,0,0.1783,FOCUSED,960.0,11.1,0.999,0.155,0.045,11.1,270,0,4
2025-08-13 18:05:47,74,0.7230828341841697,0,False,0,0.2072,FOCUSED,660.0,10.78,1.0,0.123,0.045,10.78,285,0,4
2025-08-13 18:05:47,75,0.7324220803380013,0,True,0,0.163,FOCUSED,780.0,11.235,1.0,0.177,0.048,11.24,300,0,4
2025-08-13 18:05:48,69,0.7364614200592041,0,True,0,0.1776,FOCUSED,1260.0,12.026,1.0,0.162,0.051,12.03,315,0,4
2025-08-13 18:05:48,72,0.7398802843689919,0,False,0,0.2034,FOCUSED,1560.0,12.796,1.0,0.076,0.05,12.8,330,0,4
2025-08-13 18:05:49,79,0.7536276963353157,0,False,0,0.229,FOCUSED,720.0,11.252,1.0,0.117,0.048,11.25,345,0,4
2025-08-13 18:05:49,80,0.7636107397079468,0,False,0,0.2064,FOCUSED,60.0,11.52,1.0,0.122,0.048,11.52,360,0,4
2025-08-13 18:05:50,75,0.775689549446106,0,True,0,0.183,FOCUSED,480.0,13.652,0.999,0.196,0.052,13.65,375,0,5
2025-08-13 18:05:50,74,0.7728714463114739,0,True,0,0.1938,FOCUSED,1080.0,14.43,1.0,0.14,0.053,14.43,390,0,5
2025-08-13 18:05:51,80,0.7666389268636704,0,False,0,0.2109,FOCUSED,600.0,13.508,1.0,0.043,0.055,13.51,405,0,5
2025-08-13 18:05:51,78,0.782761564552784,0,False,0,0.2172,FOCUSED,180.0,15.096,1.0,0.186,0.059,15.1,420,0,5
2025-08-13 18:05:52,80,0.7838203844428062,0,False,0,0.2181,FOCUSED,240.0,16.155,1.0,0.12,0.058,16.15,435,0,5
2025-08-13 18:05:52,80,0.7822917354106903,0,False,0,0.2075,FOCUSED,60.0,15.92,1.0,0.12,0.056,15.92,450,0,5
2025-08-13 18:05:53,80,0.7863943350315095,0,False,0,0.2023,FOCUSED,60.0,16.072,1.0,0.149,0.057,16.07,465,0,5
2025-08-13 18:05:53,80,0.7885151308774948,0,False,0,0.2164,FOCUSED,120.0,17.0,1.0,0.14,0.058,17.0,480,0,5
2025-08-13 18:05:54,81,0.7880149927735329,0,False,0,0.2252,FOCUSED,60.0,18.032,1.0,0.121,0.061,18.03,495,0,5
2025-08-13 18:05:54,78,0.7782034900784492,0,False,0,0.2154,FOCUSED,180.0,17.033,1.0,0.082,0.06,17.03,510,0,5
2025-08-13 18:05:55,78,0.76552101790905,0,True,0,0.1956,FOCUSED,360.0,15.914,1.0,0.074,0.053,15.91,525,0,5
2025-08-13 18:05:55,72,0.7526000347733498,0,True,0,0.1707,FOCUSED,900.0,13.892,0.999,0.005,0.054,13.89,540,0,5
2025-08-13 18:05:56,73,0.7475386169552803,0,True,0,0.1337,FOCUSED,1260.0,12.613,1.0,0.207,0.05,12.61,555,0,6
2025-08-13 18:05:56,77,0.7535134118795395,0,False,0,0.2161,FOCUSED,780.0,11.189,1.0,0.103,0.039,11.19,570,0,6
2025-08-13 18:05:57,80,0.7535845798254013,0,False,0,0.2764,FOCUSED,240.0,16.203,0.999,0.113,0.062,16.2,585,0,6
2025-08-13 18:05:57,79,0.7510576573014259,0,False,0,0.219,FOCUSED,60.0,7.569,0.999,0.111,0.028,7.57,600,0,6
2025-08-13 18:05:58,80,0.7638936457037926,0,False,0,0.2318,FOCUSED,60.0,12.68,1.0,0.076,0.041,12.68,615,0,6
2025-08-13 18:05:58,79,0.75787262737751,0,False,0,0.2046,FOCUSED,60.0,11.455,1.0,0.1,0.038,11.46,630,0,6
2025-08-13 18:05:59,71,0.7567370516061783,0,False,0,0.2056,FOCUSED,840.0,9.723,1.0,0.174,0.034,9.72,645,0,6
2025-08-13 18:05:59,80,0.7280254301428795,0,False,0,0.2187,FOCUSED,780.0,5.868,1.0,0.002,0.023,5.87,660,0,6
2025-08-13 18:06:00,79,0.7240308341383934,0,False,0,0.2196,FOCUSED,0.0,6.293,1.0,0.003,0.022,6.29,675,0,6
2025-08-13 18:06:00,79,0.7110074487328529,0,False,0,0.2271,FOCUSED,60.0,5.632,1.0,0.002,0.019,5.63,690,0,6
2025-08-13 18:06:01,78,0.7132988643646241,0,False,0,0.2068,FOCUSED,180.0,3.398,1.0,0.003,0.015,3.4,705,0,6
