timestamp,frame_number,left_ear,right_ear,avg_ear,left_eyebrow_height,right_eyebrow_height,mouth_aspect_ratio,nose_x,nose_y,head_tilt_angle,left_iris_x,right_iris_x,gaze_direction,face_area,lighting_quality,face_symmetry,concentration_raw,concentration_smoothed
2025-08-13 18:22:28,15,0.2984,0.3312,0.3148,337.53,346.19,0.0014,275.78,396.89,6.31,0.3934,0.4776,LEFT,2800,0.12,0.922,81.81,81
2025-08-13 18:22:28,30,0.3087,0.3046,0.3066,338.56,347.39,0.0003,272.85,397.93,6.31,0.3898,0.4741,LEFT,2793,0.137,0.906,81.6,81
2025-08-13 18:22:29,45,0.2627,0.284,0.2734,339.5,349.13,0.0002,271.41,399.7,6.81,0.3892,0.4731,LEFT,2900,0.167,0.885,81.5,81
2025-08-13 18:22:29,60,0.3087,0.2965,0.3026,339.43,348.61,0.0027,270.75,398.77,6.67,0.3877,0.4723,LEFT,2907,0.174,0.883,81.48,81
2025-08-13 18:22:30,75,0.3087,0.3101,0.3094,339.07,348.44,0.0004,270.68,398.33,6.48,0.3894,0.4735,LEFT,2958,0.176,0.875,81.55,81
2025-08-13 18:22:30,90,0.3046,0.3319,0.3182,335.91,345.0,0.0001,275.33,394.5,6.95,0.394,0.478,LEFT,2862,0.183,0.923,81.81,81
2025-08-13 18:22:31,105,0.2366,0.2998,0.2682,322.55,336.05,0.0002,312.5,378.25,11.09,0.4366,0.5139,CENTER,2090,0.197,0.774,83.1,82
2025-08-13 18:22:31,120,0.308,0.405,0.3565,331.44,347.63,0.1606,325.34,398.67,12.93,0.4589,0.5345,CENTER,1716,0.2,0.821,82.89,82
2025-08-13 18:22:32,135,0.3127,0.3202,0.3164,272.53,280.6,0.4801,312.95,317.08,5.32,0.442,0.5221,CENTER,2898,0.201,0.856,96.12,88
2025-08-13 18:22:32,150,0.2719,0.3079,0.2899,276.02,282.88,0.2817,312.68,320.28,5.62,0.4391,0.5216,CENTER,2820,0.2,0.837,95.43,96
2025-08-13 18:22:33,165,0.2184,0.2531,0.2358,280.0,290.95,0.0011,316.99,325.89,7.15,0.4421,0.5235,CENTER,2655,0.202,0.772,93.77,94
2025-08-13 18:22:33,180,0.2417,0.2796,0.2606,299.48,317.22,0.0014,388.58,352.15,16.77,0.54,0.6127,RIGHT,1026,0.199,0.308,82.38,87
2025-08-13 18:22:34,195,0.2055,0.2513,0.2284,292.65,304.68,0.0022,319.06,345.19,8.94,0.456,0.5411,CENTER,2640,0.201,0.961,88.69,83
2025-08-13 18:22:34,210,0.3783,0.3026,0.3405,295.78,289.62,0.1414,157.93,341.36,4.07,0.2556,0.335,LEFT,4655,0.192,0.213,80.04,81
2025-08-13 18:22:35,225,0.3536,0.2828,0.3182,296.95,293.95,0.0023,168.1,345.3,2.46,0.266,0.3495,LEFT,4557,0.198,0.279,80.61,79
2025-08-13 18:22:35,240,0.3082,0.2798,0.294,292.64,298.23,0.001,225.91,343.06,3.85,0.3351,0.4212,LEFT,4032,0.196,0.638,82.33,81
2025-08-13 18:22:36,255,0.2998,0.2862,0.293,294.45,301.93,0.0014,237.48,344.61,5.59,0.351,0.4364,LEFT,4002,0.195,0.66,82.56,82
2025-08-13 18:22:36,270,0.3049,0.3364,0.3206,296.51,303.29,0.0009,229.98,346.34,5.7,0.3325,0.4172,LEFT,4104,0.195,0.66,82.06,82
2025-08-13 18:22:37,285,0.3185,0.3229,0.3207,300.76,306.77,0.0013,220.19,351.22,4.77,0.3179,0.4026,LEFT,4332,0.197,0.62,81.55,81
2025-08-13 18:22:37,300,0.9932,0.2718,0.6325,298.99,307.1,0.0371,145.93,340.27,15.3,0.2651,0.3054,LEFT,5040,0.192,0.565,79.48,80
2025-08-13 18:22:38,315,1.1265,0.3021,0.7143,301.31,309.45,0.0003,144.0,343.77,14.21,0.2679,0.31,LEFT,4977,0.199,0.555,79.51,79
2025-08-13 18:22:38,330,0.2637,0.2645,0.2641,307.65,321.82,0.0034,257.19,364.85,9.85,0.3673,0.4537,LEFT,3135,0.2,0.885,81.73,80
2025-08-13 18:22:39,345,0.2451,0.3149,0.28,308.13,321.07,0.0016,282.98,363.79,9.2,0.3958,0.4795,LEFT,2576,0.196,0.909,82.78,82
2025-08-13 18:22:39,360,0.2956,0.3037,0.2996,306.32,316.92,0.0026,294.94,360.61,8.15,0.4099,0.4924,CENTER,2376,0.195,0.808,83.35,83
