timestamp,frame_number,left_ear,right_ear,avg_ear,left_eyebrow_height,right_eyebrow_height,mouth_aspect_ratio,nose_x,nose_y,head_tilt_angle,left_iris_x,right_iris_x,gaze_direction,face_area,lighting_quality,face_symmetry,concentration_raw,concentration_smoothed
2025-08-14 00:07:55,120,0.246,0.247,0.2465,210.67,213.57,0.0008,365.02,280.74,0.82,0.4991,0.6256,RIGHT,4389,0.016,0.897,100.0,100
2025-08-14 00:07:55,135,0.2306,0.2425,0.2365,211.3,214.38,0.0025,387.79,280.72,0.35,0.5295,0.6565,RIGHT,4350,0.017,0.849,96.76,98
2025-08-14 00:07:56,150,0.2266,0.2425,0.2345,213.5,217.21,0.0,391.09,281.35,1.28,0.5319,0.6572,RIGHT,4320,0.017,0.798,95.83,95
2025-08-14 00:07:56,165,0.3992,0.2337,0.3165,201.11,206.37,0.058,274.89,251.18,4.65,0.4425,0.5493,CENTER,8624,0.017,0.067,100.0,98
2025-08-14 00:07:57,180,0.4131,0.2736,0.3433,202.76,202.67,0.1716,261.68,250.76,2.05,0.4243,0.5345,CENTER,6741,0.017,0.047,100.0,100
2025-08-14 00:07:57,195,0.4389,0.2486,0.3437,202.58,201.63,0.0337,260.12,250.84,0.63,0.4198,0.524,CENTER,6649,0.017,0.058,100.0,100
2025-08-14 00:07:58,210,0.4973,0.2647,0.381,199.81,201.82,0.0424,258.44,249.31,2.84,0.427,0.5292,CENTER,7128,0.017,0.157,100.0,100
2025-08-14 00:07:58,225,0.5013,0.244,0.3726,205.21,204.04,0.0143,257.96,252.11,1.75,0.4229,0.5181,CENTER,6527,0.017,0.117,100.0,100
2025-08-14 00:07:59,240,0.4055,0.2489,0.3272,204.64,209.63,0.0471,269.49,253.69,6.54,0.43,0.5291,CENTER,6468,0.016,0.038,100.0,100
2025-08-14 00:07:59,255,0.4851,0.2365,0.3608,198.93,203.53,0.0054,267.1,243.1,6.58,0.4315,0.5156,CENTER,5940,0.016,0.083,100.0,100
