timestamp,frame_number,left_ear,right_ear,avg_ear,left_eyebrow_height,right_eyebrow_height,mouth_aspect_ratio,nose_x,nose_y,head_tilt_angle,left_iris_x,right_iris_x,gaze_direction,face_area,lighting_quality,face_symmetry,concentration_raw,concentration_smoothed
2025-08-13 18:05:38,15,0.1276,0.2231,0.1753,310.27,334.52,0.1675,345.08,404.63,13.17,0.4822,0.6099,CENTER,4402,0.158,0.983,71.81,71
2025-08-13 18:05:38,30,0.1916,0.2023,0.1969,290.42,289.51,0.1865,322.17,359.94,0.98,0.4343,0.5589,CENTER,5100,0.172,0.876,75.62,74
2025-08-13 18:05:39,45,0.1903,0.2134,0.2018,266.78,263.62,0.1689,321.55,317.23,5.02,0.4333,0.5456,CENTER,5025,0.177,0.827,97.17,84
2025-08-13 18:05:39,60,0.169,0.1795,0.1743,260.97,261.96,0.1609,345.62,316.48,0.57,0.4755,0.5812,CENTER,4692,0.175,0.842,86.25,88
2025-08-13 18:05:40,75,0.0807,0.1385,0.1096,254.85,267.13,0.1574,394.09,321.07,7.42,0.5523,0.6721,RIGHT,5002,0.159,0.944,75.9,82
2025-08-13 18:05:40,90,0.1113,0.238,0.1746,254.78,258.13,0.0004,427.7,320.37,1.42,0.5985,0.7141,RIGHT,5106,0.144,0.848,72.95,74
2025-08-13 18:05:41,105,0.1915,0.2076,0.1996,246.79,243.82,0.0031,488.06,308.14,1.97,0.681,0.8112,RIGHT,6308,0.131,0.798,71.0,73
2025-08-13 18:05:41,120,0.246,0.1526,0.1993,261.9,247.43,0.0006,451.1,324.36,7.58,0.6255,0.7665,RIGHT,7208,0.136,0.935,71.21,75
2025-08-13 18:05:42,135,0.2128,0.193,0.2029,278.48,255.3,0.0357,437.75,344.3,14.49,0.6102,0.7414,RIGHT,6608,0.135,0.95,80.87,71
2025-08-13 18:05:42,150,0.2492,0.1845,0.2169,268.65,243.3,0.122,461.02,329.8,12.46,0.6468,0.7732,RIGHT,6608,0.131,0.861,80.32,73
2025-08-13 18:05:43,165,0.1857,0.1557,0.1707,271.31,251.9,0.14,474.88,337.07,10.33,0.6607,0.8006,RIGHT,6480,0.131,0.867,69.87,73
2025-08-13 18:05:43,180,0.2026,0.2084,0.2055,282.19,261.09,0.1354,466.56,353.16,11.41,0.646,0.784,RIGHT,7080,0.126,0.895,79.61,72
2025-08-13 18:05:44,195,0.1991,0.1404,0.1698,289.56,269.56,0.1437,467.46,363.49,10.51,0.6513,0.7937,RIGHT,7320,0.136,0.929,69.22,71
2025-08-13 18:05:44,210,0.1911,0.1848,0.1879,280.04,262.96,0.0229,478.14,354.01,9.24,0.6578,0.8057,RIGHT,6930,0.155,0.823,69.43,71
2025-08-13 18:05:45,225,0.1045,0.1448,0.1246,270.67,250.01,0.2302,485.17,340.49,11.32,0.6669,0.8144,RIGHT,7437,0.157,0.837,69.4,77
2025-08-13 18:05:45,240,0.204,0.205,0.2045,279.6,260.16,0.0904,469.62,354.36,11.03,0.6462,0.7941,RIGHT,7378,0.156,0.891,79.56,72
2025-08-13 18:05:46,255,0.2095,0.1813,0.1954,288.47,268.25,0.1031,464.72,359.37,10.37,0.6424,0.7865,RIGHT,7254,0.155,0.894,69.47,71
2025-08-13 18:05:46,270,0.1959,0.1607,0.1783,272.42,251.04,0.1549,498.53,341.19,11.1,0.6814,0.8262,RIGHT,6592,0.155,0.708,69.05,76
2025-08-13 18:05:47,285,0.2323,0.1821,0.2072,270.51,248.78,0.1231,496.71,337.41,10.78,0.6773,0.8259,RIGHT,6720,0.156,0.734,79.18,74
2025-08-13 18:05:47,300,0.2219,0.1041,0.163,270.98,247.93,0.1772,486.5,337.73,11.24,0.6666,0.8121,RIGHT,7085,0.156,0.783,69.43,75
2025-08-13 18:05:48,315,0.2203,0.135,0.1776,272.45,248.02,0.1617,480.73,337.79,12.03,0.661,0.8054,RIGHT,7119,0.157,0.796,69.5,69
2025-08-13 18:05:48,330,0.2201,0.1868,0.2034,273.36,249.22,0.0755,476.79,338.79,12.8,0.6539,0.7998,RIGHT,7006,0.157,0.805,79.64,72
2025-08-13 18:05:49,345,0.2903,0.1676,0.229,268.15,245.35,0.1172,466.45,329.85,11.25,0.6442,0.7873,RIGHT,8092,0.159,0.898,80.19,79
2025-08-13 18:05:49,360,0.2535,0.1593,0.2064,269.54,246.41,0.1223,452.33,331.95,11.52,0.6317,0.7699,RIGHT,8184,0.159,0.976,80.52,80
2025-08-13 18:05:50,375,0.2237,0.1422,0.183,274.03,248.85,0.1959,431.81,338.26,13.65,0.6075,0.7454,RIGHT,8448,0.161,0.924,70.83,75
2025-08-13 18:05:50,390,0.2243,0.1633,0.1938,275.13,249.7,0.1404,433.93,340.32,14.43,0.6129,0.7488,RIGHT,8316,0.162,0.959,70.72,74
2025-08-13 18:05:51,405,0.2577,0.1642,0.2109,273.86,247.26,0.0433,447.53,335.92,13.51,0.6223,0.7615,RIGHT,8128,0.162,0.959,80.45,80
2025-08-13 18:05:51,420,0.2651,0.1694,0.2172,275.36,247.16,0.1864,428.4,336.22,15.1,0.6053,0.7363,RIGHT,8308,0.162,0.936,80.92,78
